OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328156"",""ED-GRANTS-071720-001"")",Office of Elementary and Secondary Education (OESE): Office of Indian Education (OIE): Indian Education Discretionary Grant Program: Demonstration Grants for Indian Children and Youth Program (Demonstration Program) CFDA Number 84.299A,ED,Department of Education,15000000,20,"Julius C Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
julius.cotton@ed.gov
Program Manager:
Bianca Williams, 
U.S. Department of Education, 
400 Maryland Avenue, SW., room 3W237, 
Washington, DC 20202-6335.  
Telephone: (202) 453-5671.  Email:  bianca.williams@ed.gov.",,bianca.williams@ed.gov,,,07/17/2020,08/31/2020,07/17/2020 06:46:17,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328175"",""20-582"")",Condensed Matter and Materials Theory,NSF,National Science Foundation,15000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,07/17/2020,,07/17/2020 01:00:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328139"",""FR-6400-N-71"")",Education and Outreach Initiative (EOI) - Tester Training,HUD,Department of Housing and Urban Development,250000,1,"Myron Newry
Myron.P.Newry@hud.gov",,Myron.P.Newry@hud.gov,,,07/16/2020,08/17/2020,07/16/2020 10:44:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328134"",""BOR-MB-20-N001"")",Aquatic Invasive Species Prevention Activities in Wyoming,DOI-BOR,Bureau of Reclamation,24000,1,"Jerry L Fink
Grants Officer
Phone 406-247-7606",,jfink@usbr.gov,,,07/16/2020,07/30/2020,07/16/2020 08:31:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328133"",""BOR-MB-20-N003"")",Aquatic Invasive Species Prevention,DOI-BOR,Bureau of Reclamation,10000,1,"Jerry L Fink
Grants Officer
Phone 406-247-7606",,jfink@usbr.gov,,,07/16/2020,07/30/2020,07/16/2020 07:58:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328111"",""BRO-20-SOMAII"")",Award for Fundamental Research in Socio-Mathematics of Information and Influence,DOD,Department of Defense,3000000,2,"Sharon A Hilton
Grantor",,sharon.a.hilton.civ@mail.mil,,,07/16/2020,08/28/2020,07/16/2020 13:21:16,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328159"",""RFA-CA-20-045"")",Limited Competition: International Agency for Research on Cancer (IARC) Monographs Program (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/16/2020,12/16/2020,07/16/2020 14:47:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328141"",""HRSA-21-005"")",Service Area Competition,HHS-HRSA,Health Resources and Services Administration,6062934,2,"Department of Health and Human Services, Health Resources and Services Administration
BPHCSAC@hrsa.gov",,BPHCSAC@hrsa.gov,,,07/16/2020,09/14/2020,07/16/2020 14:15:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328140"",""MP-CPI-20-004"")",Sickle Cell Disease Clinical Data Collection Platform,HHS-OPHS,Office of the Assistant Secretary for Health,,1,"Grants.gov Contact Center
Phone Number: 1-800-518-4726

Hours of operation are 24 hours a day, 7 days a week. The contact center is closed on federal holidays.
support@grants.gov",,support@grants.gov,,,07/16/2020,08/18/2020,07/16/2020 16:08:16,Synopsis 10,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328109"",""PAR-20-266"")",Promoting Research on Music and Health: Phased Innovation Award for Music Interventions (R61/R33 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/15/2020,06/19/2023,07/15/2020 08:46:15,Synopsis 1,
