"STATEFP.x","COUNTYFP","COUNAME","STNAME","POPULATION","CENTER.LATITUDE","CENTER.LONGITUDE","ED_COUNT_15mile","ED_INVERSE_DIST_15mile","HEALTH_COUNT_15mile","HEALTH_INVERSE_DIST_15mile","GEOID","LSAD","tot_pov_sts_12mths_age_B17020_E","tot_pov_sts_12mths_age_B17020_M","tot_income_12mths_blw_pov_lvl_B17020_E","tot_income_12mths_blw_pov_lvl_B17020_M","tot_edu_attain_25yrs_and_up_B15003_E","tot_edu_attain_25yrs_and_up_B15003_M","tot_edu_attain_25yrs_and_up_HS_diploma_B15003_E","tot_edu_attain_25yrs_and_up_HS_diploma_B15003_M","tot_edu_attain_25yrs_and_up_GED_B15003_E","tot_edu_attain_25yrs_and_up_GED_B15003_M","tot_edu_attain_25yrs_and_up_somecollege_freshman_B15003_E","tot_edu_attain_25yrs_and_up_somecollege_freshman_B15003_M","tot_edu_attain_25yrs_and_up_somecollege_abovefreshman_B15003_E","tot_edu_attain_25yrs_and_up_somecollege_abovefreshman_B15003_M","tot_edu_attain_25yrs_and_up_assoc_B15003_E","tot_edu_attain_25yrs_and_up_assoc_B15003_M","tot_edu_attain_25yrs_and_up_bach_B15003_E","tot_edu_attain_25yrs_and_up_bach_B15003_M","tot_edu_attain_25yrs_and_up_masters_B15003_E","tot_edu_attain_25yrs_and_up_masters_B15003_M","tot_edu_attain_25yrs_and_up_prof_degree_B15003_E","tot_edu_attain_25yrs_and_up_prof_degree_B15003_M","tot_edu_attain_25yrs_and_up_doctorate_B15003_E","tot_edu_attain_25yrs_and_up_doctorate_B15003_M","tot_race_known_E","tot_race_known_M","tot_race_black_african_american_alone_combination_E","tot_race_black_african_american_alone_combination_M","tot_hisp_latino_origin_known_E","tot_hisp_latino_origin_known_M","tot_hisp_latino_origin_E","tot_hisp_latino_origin_M","per_black","per_hisp","per_poverty","per_hs_diploma","perw_adv_degree","arrest_perc"
51,1,"Accomack","Virginia",33164,37.784132,-75.641008,1,1.61039354267006e-09,24,1.55143720451086e-07,51001,"06",32396,128,6438,898,23595,251,7964,606,1191,277,1435,254,2483,373,1727,292,2619,304,1247,236,243,86,267,91,32742,NA,9767,72,32742,NA,2934,NA,29.83,8.96,19.87,33.75,25.87,0.422682956929532
51,3,"Albemarle","Virginia",98970,38.05016,-78.516763,133,6.87684830947119e-07,700,2.63183836647073e-06,51003,"06",98891,1145,9675,1239,71888,51,10072,879,1841,310,2887,350,8392,629,4009,427,19727,724,11154,653,3675,471,3931,387,106355,NA,11360,119,106355,NA,6168,NA,10.68,5.8,9.78,14.01,59.11,0.319174377747935
51,5,"Alleghany","Virginia",16250,37.800535,-79.929401,6,7.19881662070196e-08,46,5.43010886927801e-07,51005,"06",14940,157,3023,376,11276,66,3844,288,663,110,903,153,1387,213,1117,147,1172,215,411,122,60,44,93,54,15286,NA,1034,89,15286,NA,218,NA,6.76,1.43,20.23,34.09,25.3,1.18041582830315
51,7,"Amelia","Virginia",12690,37.341681,-77.977011,4,2.47956565636535e-08,25,1.25882036265507e-06,51007,"06",12761,74,1707,429,9030,209,2876,331,660,228,545,162,1320,259,706,249,873,210,315,129,200,108,48,44,12854,NA,2960,197,12854,NA,383,NA,23.03,2.98,13.38,31.85,23.72,0.3996003996004
51,9,"Amherst","Virginia",32353,37.519237,-79.102718,32,7.55861078180059e-08,244,5.32735187828151e-07,51009,"06",31043,175,4330,684,22594,209,6649,526,1413,267,1588,252,3039,369,2215,347,2920,321,1218,256,67,49,137,65,31882,NA,6487,61,31882,NA,774,NA,20.35,2.43,13.95,29.43,29.02,0.413692919850944
51,11,"Appomattox","Virginia",14973,37.359958,-78.833953,1,3.91388060058027e-09,8,5.05889540236435e-07,51011,"06",15487,86,2096,434,11089,117,3135,343,689,162,835,169,1477,261,1003,177,1320,232,744,153,22,26,106,68,15577,NA,3239,68,15577,NA,228,NA,20.79,1.46,13.53,28.27,28.81,0.353513035793195
51,13,"Arlington","Virginia",207627,38.8749,-77.10082,394,3.25545824908352e-07,2121,1.65526748978142e-06,51013,"06",228785,676,16360,1355,172489,90,12183,790,1844,374,3207,349,10557,767,5830,629,60173,1590,46334,1191,14024,732,8079,681,231803,NA,23147,416,231803,NA,36180,NA,9.99,15.61,7.15,7.06,77.94,0.422278451168528
51,15,"Augusta","Virginia",73750,38.12803,-79.032141,24,4.99116542614328e-08,176,5.78598814451199e-07,51015,"06",70880,650,6532,980,54368,189,17404,646,3353,440,3846,425,6093,454,4033,488,8209,654,3425,401,657,170,505,148,74701,NA,3994,236,74701,NA,1970,NA,5.35,2.64,9.22,32.01,30.95,0.515525398571372
51,17,"Bath","Virginia",4731,38.017866,-79.764614,2,1.89683686007244e-08,9,2.63742465034936e-07,51017,"06",4304,91,486,209,3380,248,1144,273,251,107,364,130,514,180,169,172,387,154,104,68,0,12,13,27,4393,NA,106,89,4393,NA,165,139,2.41,3.76,11.29,33.85,19.91,0.908667287977633
51,19,"Bedford","Virginia",68676,37.314607,-79.497893,7,9.83329778580025e-09,87,1.35801179242311e-07,51019,"06",77293,193,7046,897,56369,165,14620,773,3045,370,4027,392,7719,523,4956,463,9901,722,4631,433,713,171,1022,263,77908,NA,6025,93,77908,NA,1646,NA,7.73,2.11,9.12,25.94,37.65,0.391126011149631
51,21,"Bland","Virginia",6824,37.150725,-81.089354,9,6.38377407749802e-08,84,6.4536950581936e-07,51021,"06",5707,204,481,190,4968,15,1515,187,465,126,419,108,756,183,527,141,642,156,130,52,84,63,9,14,6447,NA,161,57,6447,NA,48,NA,2.5,0.74,8.43,30.5,28.02,0.397266804385826
51,23,"Botetourt","Virginia",33148,37.448222,-79.851418,40,6.64044808659046e-08,241,3.79456700013583e-07,51023,"06",32842,153,2629,522,24252,76,6732,505,1097,200,1739,279,3209,331,2726,374,4313,380,2012,319,323,117,317,108,33222,NA,1327,75,33222,NA,547,NA,3.99,1.65,8,27.76,39.96,1.30420410493734
51,25,"Brunswick","Virginia",17434,36.756799,-77.86074,4,3.69157175617687e-08,21,2.39855073631671e-07,51025,"06",14390,168,3082,511,12264,98,3452,348,1148,145,957,199,1674,265,702,161,1089,222,532,146,93,72,42,29,16665,NA,9385,134,16665,NA,364,NA,56.32,2.18,21.42,28.15,20.04,0.37841796875
51,27,"Buchanan","Virginia",24098,37.264125,-82.058814,2,1.71134637228428e-08,28,3.14761847671449e-07,51027,"06",21182,168,5859,668,16652,86,4666,416,1351,235,847,206,2057,259,1025,190,1108,225,565,140,60,41,27,29,22138,NA,664,126,22138,NA,96,51,3,0.43,27.66,28.02,16.72,0.961311908015645
51,29,"Buckingham","Virginia",17146,37.582102,-78.483454,2,7.92763068343441e-09,9,1.12414044032582e-07,51029,"06",14839,212,2542,487,12549,46,4098,382,1401,245,750,186,1360,204,755,156,884,156,398,143,77,56,58,37,17004,NA,6087,103,17004,NA,408,NA,35.8,2.4,17.13,32.66,17.31,0.347079239955291
51,31,"Campbell","Virginia",54842,37.25795,-79.165807,30,3.89054900320084e-08,250,2.98310042336184e-07,51031,"06",54494,194,6414,724,39725,63,9575,676,2953,367,3356,407,6152,595,3173,355,5941,613,2466,337,290,114,249,95,55170,NA,8674,57,55170,NA,1298,NA,15.72,2.35,11.77,24.1,30.51,0.249213250140978
51,33,"Caroline","Virginia",28545,38.008601,-77.433166,2,3.18581490438065e-09,29,7.50314140854275e-08,51033,"06",27904,1006,2307,529,20492,262,6766,534,909,215,1543,293,2748,459,1466,296,2966,439,975,230,40,29,132,69,30184,NA,8962,207,30184,NA,1381,NA,29.69,4.58,8.27,33.02,27.23,0.945664890159886
51,35,"Carroll","Virginia",30042,36.712893,-80.763589,5,1.23773175631275e-08,60,1.77644172432393e-07,51035,"06",29448,186,4429,769,22142,71,6755,542,1278,250,1747,395,2828,394,2374,338,2177,345,561,192,50,45,119,72,29738,NA,469,159,29738,NA,996,NA,1.58,3.35,15.04,30.51,23.85,1.11351059522203
51,36,"Charles City","Virginia",7256,37.381884,-77.102373,8,6.07413512997569e-08,70,5.30587644143584e-07,51036,"06",6960,21,910,185,5422,10,1875,156,224,43,440,76,658,86,343,67,455,78,176,43,54,26,35,19,6995,NA,3402,24,6995,NA,129,NA,48.63,1.84,13.07,34.58,19.61,0.302550064832157
51,37,"Charlotte","Virginia",12586,37.017568,-78.630844,2,1.39054100812399e-08,6,5.04821428763443e-08,51037,"06",11873,105,2859,518,8496,77,3192,299,513,158,686,164,984,181,885,180,612,157,229,77,15,11,14,19,12095,NA,3593,38,12095,NA,243,NA,29.71,2.01,24.08,37.57,20.66,0.494220137376445
51,41,"Chesterfield","Virginia",316236,37.418224,-77.550555,213,4.436023303174e-08,1548,3.35850174618821e-07,51041,"06",335404,443,23815,1812,227148,84,45362,1495,7763,673,13994,763,32919,1193,18536,974,56635,1322,25736,1049,4423,459,3735,445,339447,NA,83725,554,339447,NA,28910,NA,24.67,8.52,7.1,19.97,48.01,0.798436979997475
51,43,"Clarke","Virginia",14034,39.129687,-77.988093,23,1.23703844855284e-07,199,9.12188549192774e-07,51043,"06",14134,108,1410,413,10203,123,2527,264,426,125,642,156,1294,246,877,182,1669,260,1138,208,260,93,214,97,14365,NA,907,63,14365,NA,748,NA,6.31,5.21,9.98,24.77,40.75,0.364938373614267
51,45,"Craig","Virginia",5190,37.476038,-80.174522,11,1.03308558966465e-07,49,4.59583297847473e-07,51045,"06",5096,31,435,179,3912,184,1439,274,247,124,373,154,395,144,443,201,551,241,108,86,21,35,42,49,5113,NA,17,25,5113,NA,2,4,0.33,0.04,8.54,36.78,29.78,0.256714060031596
51,47,"Culpeper","Virginia",46689,38.500155,-77.997848,5,2.33852283981826e-08,58,3.02262690850264e-07,51047,"06",48744,322,3986,742,33695,151,8262,502,1910,290,2468,261,5086,497,2666,381,5113,453,2468,370,464,131,287,139,50450,NA,8461,219,50450,NA,5180,NA,16.77,10.27,8.18,24.52,32.64,1.14734183073333
51,49,"Cumberland","Virginia",10052,37.483249,-78.257306,7,7.85716459292789e-08,49,3.16973987732406e-07,51049,"06",9709,61,1880,519,6963,121,2205,339,228,97,600,167,876,223,516,164,658,213,460,125,23,20,75,58,9786,NA,3396,147,9786,NA,27,35,34.7,0.28,19.36,31.67,24.87,0.387399327148537
